Date,Description,Amount,Currency
2026-01-01,PLATA RENT PROPRIETAR IANUARIE,-2500.00,RON
2026-01-02,CUMPARARE POS KAUFLAND BUCURESTI 381 card ****4412 autorizare 356787,-226.28,RON
2026-01-03,CUMPARARE POS SPOTIFY P770487 STOCKHOLM SE card ****4412,-29.99,RON
2026-01-04,CUMPARARE POS LIDL 3286 BUCURESTI card ****4412,-140.66,RON
2026-01-05,BOLT.EU/R/207473 TALLINN EE,-42.71,RON
2026-01-09,CUMPARARE POS KAUFLAND BUCURESTI 858 card ****4412 autorizare 671858,-136.97,RON
2026-01-10,INCASARE SALARIU ACME SRL,8500.00,RON
2026-01-11,TRANSFER CATRE CONT ECONOMII RO49AAAA1B31007593840000,-1000.00,RON
2026-01-11,CUMPARARE POS LIDL 7912 BUCURESTI card ****4412,-25.20,RON
2026-01-12,BOLT.EU/R/131244 TALLINN EE,-18.83,RON
2026-01-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-01-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-01-15,NETFLIX.COM 2867825 AMSTERDAM NL card ****4412,-49.99,RON
2026-01-16,CUMPARARE POS KAUFLAND BUCURESTI 323 card ****4412 autorizare 343962,-411.18,RON
2026-01-18,CUMPARARE POS LIDL 1434 BUCURESTI card ****4412,-111.95,RON
2026-01-19,BOLT.EU/R/308496 TALLINN EE,-44.32,RON
2026-01-20,ENEL ENERGIE FACTURA 126855092,-301.49,RON
2026-01-22,ORANGE ROMANIA ABONAMENT,-45.00,RON
2026-01-23,CUMPARARE POS KAUFLAND BUCURESTI 765 card ****4412 autorizare 835392,-354.93,RON
2026-01-25,CUMPARARE POS LIDL 4611 BUCURESTI card ****4412,-93.59,RON
2026-01-26,BOLT.EU/R/717889 TALLINN EE,-26.39,RON
2026-02-01,PLATA RENT PROPRIETAR LUNA 02,-2500.00,RON
2026-02-02,CUMPARARE POS KAUFLAND BUCURESTI 263 card ****4412 autorizare 832052,-356.96,RON
2026-02-03,CUMPARARE POS SPOTIFY P948749 STOCKHOLM SE card ****4412,-29.99,RON
2026-02-04,CUMPARARE POS LIDL 6574 BUCURESTI card ****4412,-65.52,RON
2026-02-05,BOLT.EU/R/263032 TALLINN EE,-23.81,RON
2026-02-09,CUMPARARE POS KAUFLAND BUCURESTI 881 card ****4412 autorizare 452944,-146.98,RON
2026-02-10,INCASARE SALARIU ACME SRL,8500.00,RON
2026-02-11,TRANSFER CATRE CONT ECONOMII RO49AAAA1B31007593840000,-1000.00,RON
2026-02-11,CUMPARARE POS LIDL 2519 BUCURESTI card ****4412,-82.24,RON
2026-02-12,BOLT.EU/R/201414 TALLINN EE,-29.70,RON
2026-02-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-02-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-02-15,NETFLIX.COM 1109031 AMSTERDAM NL card ****4412,-49.99,RON
2026-02-16,CUMPARARE POS KAUFLAND BUCURESTI 967 card ****4412 autorizare 460663,-253.35,RON
2026-02-18,CUMPARARE POS LIDL 1711 BUCURESTI card ****4412,-139.55,RON
2026-02-19,BOLT.EU/R/581741 TALLINN EE,-36.96,RON
2026-02-20,ENEL ENERGIE FACTURA 914763202,-312.02,RON
2026-02-22,ORANGE ROMANIA ABONAMENT,-45.00,RON
2026-02-23,CUMPARARE POS KAUFLAND BUCURESTI 227 card ****4412 autorizare 496922,-131.64,RON
2026-02-25,CUMPARARE POS LIDL 5803 BUCURESTI card ****4412,-155.88,RON
2026-02-26,BOLT.EU/R/759176 TALLINN EE,-40.33,RON
2026-03-01,PLATA RENT PROPRIETAR LUNA 03,-2500.00,RON
2026-03-02,CUMPARARE POS KAUFLAND BUCURESTI 146 card ****4412 autorizare 793384,-229.35,RON
2026-03-03,CUMPARARE POS SPOTIFY P479201 STOCKHOLM SE card ****4412,-29.99,RON
2026-03-04,CUMPARARE POS LIDL 5741 BUCURESTI card ****4412,-33.07,RON
2026-03-05,BOLT.EU/R/996865 TALLINN EE,-24.53,RON
2026-03-09,CUMPARARE POS KAUFLAND BUCURESTI 987 card ****4412 autorizare 205907,-329.11,RON
2026-03-10,INCASARE SALARIU ACME SRL,8500.00,RON
2026-03-11,TRANSFER CATRE CONT ECONOMII RO49AAAA1B31007593840000,-1000.00,RON
2026-03-11,CUMPARARE POS LIDL 5554 BUCURESTI card ****4412,-94.28,RON
2026-03-12,BOLT.EU/R/766563 TALLINN EE,-29.94,RON
2026-03-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-03-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-03-15,NETFLIX.COM 4226067 AMSTERDAM NL card ****4412,-49.99,RON
2026-03-16,CUMPARARE POS KAUFLAND BUCURESTI 266 card ****4412 autorizare 488162,-312.83,RON
2026-03-18,CUMPARARE POS LIDL 4432 BUCURESTI card ****4412,-129.80,RON
2026-03-19,BOLT.EU/R/379946 TALLINN EE,-43.74,RON
2026-03-20,ENEL ENERGIE FACTURA 856528252,-191.39,RON
2026-03-22,ORANGE ROMANIA ABONAMENT,-45.00,RON
2026-03-23,CUMPARARE POS KAUFLAND BUCURESTI 799 card ****4412 autorizare 779514,-126.79,RON
2026-03-25,CUMPARARE POS LIDL 3803 BUCURESTI card ****4412,-107.51,RON
2026-03-26,BOLT.EU/R/864544 TALLINN EE,-25.02,RON
